"VIX.Close","AAPL.Close","VXAPLCLS","VXAZNCLS","VXGOGCLS","GOOG.Close","AMZN.Close","GSPC.Close","Date","AAPL.Ret","AMZN.Ret","GOOG.Ret","GSPC.Ret","AAPL.Vol","AAPL.PVol","AMZN.PVol","GOOG.PVol","GSPC.PVol"
9.77,43.064999,24.25,26.59,20.29,1065,1189.01001,2695.810059,0,0.0177462273567914,0.0165704065850756,0.017619074504811,0.00826907852688752,0.00928128119394269,0.0100947658783585,0.00958519015999417,0.0085156786059332,0.00384814490626138
9.15,43.057499,24.47,26.15,20.69,1082.47998,1204.199951,2713.060059,1,-0.000174170517416972,0.0126943688447279,0.0162798873357719,0.00637843324297815,0.0132036599043523,0.010035844313154,0.00946731507559827,0.00851023979287326,0.00396816686146833
9.22,43.2575,23.88,26.45,21.55,1086.400024,1209.589966,2723.98999,2,0.00463422024565974,0.00446602574719801,0.0036148134164451,0.00402054261954721,0.0138954300697731,0.00991812570993949,0.00728579158407507,0.00781272367638289,0.00397476050644587
9.22,43.75,24.46,26.15,21.89,1102.22998,1229.140015,2743.149902,3,0.0113209840549566,0.0160333189463975,0.0144658823286399,0.007009145849314,0.0168098312375279,0.0101624047837979,0.00778556871679865,0.00812732559667187,0.00395765166792661
9.52,43.587502,25.15,27.83,23.2,1106.939941,1246.869995,2747.709961,6,-0.00372115491714009,0.014321657002057,0.00426401617325745,0.00166096391535486,0.0172766247091193,0.0101624168498066,0.00804135258004342,0.00788016905384257,0.00392878565489707
10.08,43.5825,25.23,28.04,21.19,1106.26001,1252.699951,2751.290039,7,-0.000114764251249788,0.00466477569955082,-0.000614432528867503,0.00130208347183558,0.0179950917443689,0.0101679341232199,0.00802108371053561,0.00770250199236609,0.00392763455658726
9.82,43.572498,25.52,28.74,22.04,1102.609985,1254.329956,2748.22998,8,-0.000229522122045189,0.0013003476545137,-0.00330488288624409,-0.00111284595936834,0.0182083467259804,0.0101713993321228,0.0080288019922733,0.00781140362761625,0.00390015844842301
9.88,43.82,24.7,28.43,22.95,1105.52002,1276.680054,2767.560059,9,0.00566416265413228,0.0176614702243336,0.00263574760373508,0.00700902608623633,0.0205576705140128,0.00937336282391476,0.00858483993851197,0.00780835233786835,0.00405851047815007
10.16,44.272499,25.64,30.08,24.14,1122.26001,1305.199951,2786.23999,10,0.0102733600461113,0.0220932475635429,0.0150286876171979,0.00672692616818527,0.0205475111144197,0.00947688577906433,0.00923961111199995,0.00819740914743152,0.00419198241950801
11.66,44.047501,28.38,35.48,25.25,1121.76001,1304.859985,2776.419922,14,-0.00509507442802093,-0.000260504364081982,-0.000445628830240352,-0.00353071313246112,0.0210856479329415,0.00957233006290441,0.0092216900685946,0.00821044849179273,0.00433764856088177
11.91,44.775002,29.6,34.65,24.93,1131.97998,1295,2802.560059,15,0.0163813728291471,-0.00758504867930565,0.00906940472115014,0.00937100630643606,0.0221164399633334,0.0101289060145575,0.00961065026635396,0.00823782133512499,0.00438956369344762
12.22,44.814999,29.38,34.25,24.6,1129.790039,1293.319946,2798.030029,16,0.000892889880809378,-0.00129818126892811,-0.00193648484678377,-0.00161769774853138,0.0221110491687161,0.00995192844012933,0.00969825607706843,0.0079465736737633,0.00423289028630166
11.27,44.615002,27.98,34.27,24.25,1137.51001,1294.579956,2810.300049,17,-0.00447271231528079,0.000973770352238112,0.00680986253879912,0.00437564815425073,0.0221058148816231,0.00959605380915061,0.00964800278953948,0.00771950552351496,0.00420107309720266
11.03,44.25,27.37,34.02,25.45,1155.810059,1327.310059,2832.969971,20,-0.00821479872614805,0.0249680979293982,0.0159597761222336,0.00803436442584715,0.0220670449045576,0.00946401819500479,0.0105375644797859,0.00797878509703747,0.00420785431788735
11.1,44.259998,27.83,35.57,26.43,1169.969971,1362.540039,2839.129883,21,0.000225917981436119,0.0261962513812986,0.0121766347418442,0.00217200492947089,0.0221714828911676,0.00945616891203696,0.0109929405418395,0.0079063743257939,0.00413533246965779
11.47,43.555,28.98,37.72,27.25,1164.23999,1357.51001,2837.540039,22,-0.0160567821645192,-0.00369848689775409,-0.00490957763468725,-0.000560132635300192,0.0222492000873413,0.01010474084414,0.011050301829545,0.00807776853919633,0.00419602277410299
11.58,42.7775,29.82,38.39,28.62,1170.369995,1377.949951,2839.25,23,-0.0180122438468668,0.0149447052550977,0.00525142882699825,0.000602439420859469,0.0222102926922154,0.0108243845619789,0.0108047097167579,0.00788833329115693,0.00416313143133102
11.08,42.877499,29.94,39.17,30.5,1175.839966,1402.050049,2872.870117,24,0.00233492607785513,0.017338634360538,0.00466282302228738,0.0117716380408188,0.0222411949316219,0.00924985143446108,0.0109984711261745,0.00767819764260908,0.0045123744547035
13.84,41.990002,34.39,45.08,32.04,1175.579956,1417.680054,2853.530029,27,-0.0209156471753547,0.0110862845119639,-0.000221151482665327,-0.00675473632363577,0.0216421462923974,0.0103404166780119,0.0109803583407486,0.00727681373092944,0.00499662926010549
14.79,41.7425,33.68,44.34,31.65,1163.689941,1437.819946,2822.429932,28,-0.00591174788551374,0.0141062692791705,-0.0101656652861326,-0.0109586425739705,0.0220274545397924,0.0103657207197914,0.0109689011150761,0.00791967346516938,0.00584597445809134
13.54,41.857498,33.99,44.28,30.62,1169.939941,1450.890015,2823.810059,29,0.0027511501264228,0.00904913152594755,0.00535647489934821,0.000488865875231781,0.0220507961759505,0.0101514343631508,0.00958805023522392,0.00777210685412164,0.00560662981613086
13.47,41.945,34.01,39.53,28.93,1167.699951,1390,2821.97998,30,0.00208829173086,-0.0428734244378708,-0.00191645487677672,-0.000648298661995561,0.0220517438244278,0.00928128119394269,0.0149241940484595,0.0073851517843873,0.00549254517309183
17.309999,40.125,28.69,36,23.1,1111.900024,1429.949951,2762.129883,31,-0.044359654848078,0.0283356972160265,-0.0489656748249576,-0.0214366802827097,0.019301438554629,0.0132036599043523,0.0155757638918964,0.0134028986982597,0.00743819184846885
37.32,39.122501,33.36,41.65,30.33,1055.800049,1390,2648.939941,34,-0.0253018068342517,-0.0283356972160265,-0.051771465494058,-0.0418425411596273,0.0183568881512893,0.0138954300697731,0.0174937026853688,0.017685223646955,0.0118728659283225
29.98,40.7575,29.89,36.79,27.38,1080.599976,1442.839966,2695.139893,35,0.0409420972157442,0.0373096228259628,0.0232176004002618,0.0172905736588325,0.0165208692174416,0.0168098312375279,0.0186444014549852,0.0181732003723045,0.0124327342524003
27.73,39.884998,29.81,37.01,27.19,1048.579956,1416.780029,2681.659912,36,-0.0216396086127455,-0.0182266584312263,-0.0300795942548335,-0.00501413842107024,0.0156650894425956,0.0172766247091193,0.0193982319514517,0.019197544438341,0.0124508911774644
